                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2312,                 1.5614,                 1.2194,                0.94945,                0.88468,                0.94354,                 0.6092,                 1.2201,                0.85083,                 1.2046,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.2409,                0.86209,                 1.2166,                0.94394,                0.91289,                0.95251,                0.61307,                 1.2393,                0.74767,                 1.2752,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.2893,                0.84034,                 1.2625,                0.93156,                0.87867,                0.93489,                0.58741,                 1.3165,                0.74866,                  1.355,              0.0097996,              0.0097996,              0.0097996
                      4,                 1.2984,                0.81521,                 1.2878,                0.95388,                0.91025,                0.95705,                0.62933,                 1.2337,                0.65315,                 1.3185,               0.009703,               0.009703,               0.009703
                      5,                 1.2591,                0.74912,                  1.263,                0.96303,                0.93036,                0.96903,                 0.6468,                 1.2103,                0.57549,                 1.2845,               0.009604,               0.009604,               0.009604
                      6,                  1.225,                 0.7175,                 1.2438,                0.96209,                0.93173,                0.96963,                0.65802,                 1.1917,                0.55934,                 1.2857,               0.009505,               0.009505,               0.009505
                      7,                 1.2049,                0.68621,                 1.2374,                0.96541,                 0.9308,                 0.9703,                0.66941,                 1.1542,                0.55699,                 1.2534,               0.009406,               0.009406,               0.009406
                      8,                 1.1929,                0.67328,                 1.2306,                0.96129,                   0.94,                0.96866,                0.66589,                 1.1499,                 0.5269,                 1.2494,               0.009307,               0.009307,               0.009307
                      9,                 1.1786,                0.65054,                 1.2161,                0.97409,                0.94808,                0.97697,                0.67698,                 1.1244,                0.50253,                 1.2365,               0.009208,               0.009208,               0.009208
                     10,                 1.1691,                0.63452,                 1.2158,                0.97071,                 0.9478,                0.97929,                0.68908,                  1.111,                0.48812,                 1.2234,               0.009109,               0.009109,               0.009109
                     11,                 1.1571,                0.61938,                 1.2074,                0.97205,                0.95468,                 0.9801,                0.69493,                 1.0974,                0.47484,                 1.2159,                0.00901,                0.00901,                0.00901
                     12,                 1.1513,                0.61385,                 1.2059,                0.97379,                0.95441,                0.97877,                0.68671,                 1.0961,                0.47486,                 1.2154,               0.008911,               0.008911,               0.008911
                     13,                 1.1343,                0.60151,                 1.1906,                 0.9746,                0.95894,                 0.9828,                0.70003,                 1.0817,                0.46108,                 1.2019,               0.008812,               0.008812,               0.008812
                     14,                 1.1348,                0.59645,                 1.1941,                0.97743,                0.95923,                0.98272,                0.70406,                 1.0699,                0.44665,                 1.1899,               0.008713,               0.008713,               0.008713
                     15,                 1.1278,                0.58817,                 1.1911,                0.98026,                0.95908,                0.98452,                0.71083,                 1.0635,                0.43928,                 1.1849,               0.008614,               0.008614,               0.008614
                     16,                 1.1171,                0.58084,                 1.1816,                0.97737,                0.96414,                0.98682,                0.71592,                 1.0484,                0.42951,                 1.1743,               0.008515,               0.008515,               0.008515
                     17,                 1.1136,                0.57605,                 1.1744,                0.97819,                0.96473,                0.98638,                0.71884,                 1.0439,                0.41945,                  1.169,               0.008416,               0.008416,               0.008416
                     18,                 1.1132,                0.56864,                 1.1743,                0.97847,                  0.967,                0.98738,                0.71658,                 1.0418,                0.41655,                 1.1664,               0.008317,               0.008317,               0.008317
